"","Clust","longitude","latitude","MAP","MAT","d13C","d15N","C","N.1","CN","vap","d15N_soil","cica","dem","pa","pet","ph","optional"
"1","1",-72.79,-8.88,1616,25.9,-31,3.4,46.01,1.99,23.1206,2.667662,7.057756,0.71875,249.8873541,983.4051153,1078.723148,4.888451099,TRUE
"2","2",-72.12,-8.84,1784,25.7,-31.6,2.4,46.6,3.21,15.5,2.621002,6.866338,0.7421875,315.1152211,975.4955922,1062.399383,5.345599981,TRUE
"3","3",-68.3,-10.56,1905,25.5,-30.9,4.4,46.6,3.44,14.3,2.618273,8.121002,0.71484375,205.6779399,988.1479906,1112.419444,4.730351454,TRUE
"4","4",-67.33,-2.88,3033,25.7,-32.7,3.2,44.7,1.83,25.5,2.907502,6.645069,0.78515625,61.73549739,1005.475796,1077.032407,4.10211096,TRUE
"5","5",-65.86,0.42,2909,26.4,-34.1,3.3,48.2,2.32,22.7,2.821417,6.742243,0.83984375,238.3081263,984.212108,1178.683333,4.255722356,TRUE
"6","6",-65.48,-2.44,2722,26.15,-32.4,3.15,45.75,2.145,22.3,2.9416585,6.277378,0.7734375,44.659306075,1007.6548225,1115.525,4.1677376465,TRUE
"7","7",-64.25,-3.67,2464,27,-33.9,2.3,44.8,1.81,26.3,2.992829,7.338884,0.83203125,63.02650103,1005.481914,1103.325926,4.035802303,TRUE
"8","8",-63.285,-8.97,2050,26,-31.75,6.4,45.6,2.055,24.25,2.7728655,8.383968,0.748046875,101.56067975,1000.8614826,1104.00679,4.1526284245,TRUE
"9","9",-61.92,-10.08,1938,24.5,-31.9,5,45.9,2.48,19.8,2.63884,7.620765,0.75390625,169.5486277,992.6239547,1112.802778,4.405296024,TRUE
"10","10",-61.72,-8.47,2191,26.5,-29,-2.7,47.4,1.41,37.6,2.76669,7.822512,0.640625,87.8490632,1002.425423,1109.916667,4.451592226,TRUE
"11","11",-60.97,3.63,1985,24.2,-29.6,1.5,42.2,1.75,26.5,2.682602,6.40141,0.6640625,95.28197057,1001.408909,1362.696605,5.298290617,TRUE
"12","12",-60.76,-3.26,2309,27.3,-30.7,2.7,52.3,1.99,44.4,2.944696,7.181197,0.70703125,30.97355388,1009.355072,1155.432407,4.35021218,TRUE
"13","13",-60.065,-2.505,2145,27.4,-32.05,-0.8,50.15,1.695,33.7,2.864677,8.1725345,0.759765625,98.94132594,1001.123851,1158.4368825,4.050816781,TRUE
"14","14",-58.88,-3.27,2261,26.9,-32,2.8,40.9,2,20.5,2.881527,7.917813,0.7578125,23.45645394,1010.168794,1182.166358,4.369472697,TRUE
"15","15",-58.03,-14.33,1710,23.3,-28.4,-2.9,45.8,1.28,38.2,2.2169,5.277523,0.6171875,622.4614806,939.8276091,1225.937346,5.088980982,TRUE
"16","16",-55.94,-9.6,2268,25.6,-32,4.6,48.7,3.76,14.1,2.550231,7.706788,0.7578125,285.3442305,978.6299446,1307.864815,4.519585959,TRUE
"17","17",-55.52,-1.94,1931,26.7,-30.2,3.3,44.9,3.25,13.9,2.911906,7.822753,0.6875,25.39588994,1009.882761,1292.815741,4.826923335,TRUE
"18","18",-55.33,-11.41,2180,25.8,-30.6,4.8,52,3.91,14.5,2.450119,7.523221,0.703125,358.6051349,970.6026235,1263.955556,4.525933842,TRUE
"19","19",-54.935,-2.715,2070.5,25.85,-30.95,4.6,46.35,1.965,26.6,2.865908,9.165862,0.716796875,115.27375579,998.99348655,1192.151852,4.4059842495,TRUE
"20","20",-52.12,-12.825,1647,25.4,-30.2,2.05,47.755,2.01,24.38251,2.420583,6.797345,0.6875,354.8413759,970.9535599,1289.875463,5.0299858775,TRUE
"21","21",-52.23,-22.6,1163,23,-31.4,3.9,47.6,3.05,17.1,2.00191,7.614947,0.734375,333.9437656,973.0881747,1296.177778,5.66468339,TRUE
"22","22",-52.17,-14.83,1498,25.1,-29.1,2.6,46.01,2.2,20.91364,2.298769,5.749757,0.64453125,287.9897785,978.3786441,1302.156481,5.304833456,TRUE
"23","23",-51.08,0.45,2487,27,-29.4,0.8,45.7,1.32,40.1,2.870715,6.664898,0.65625,28.70571358,1009.49244,1307.437963,5.228291083,TRUE
"24","24",-50.39,-29.42,2109,15.3,-30.5,2.7,45.2,2.11,24.4,1.41519,6.421182,0.69921875,829.310268,918.6383802,938.8759259,5.109351864,TRUE
"25","25",-50.03,-8.2,1890,25.8,-29.3,-0.5,46.7,1.29,40.9,2.633675,5.543777,0.65234375,223.0649253,986.3681331,1295.972531,4.907687016,TRUE
"26","26",-49.04,-26.15,1706,21.1,-32.9,1.9,45.9,2.24,22.3,1.57001,6.780394,0.79296875,821.4216689,916.9109249,923.8888889,5.013868241,TRUE
